name,ra,dec,plate,mjd,fiberID,subclass,u_mag,g_mag,r_mag,i_mag,z_mag
609263340195178496,115.24003,33.146443,541,51959,551,M3,24.45148,22.27923,20.9517,19.83961,19.33508
708301026976884736,249.5249,44.751648,629,52051,400,M3,24.22892,21.40138,20.05622,18.94748,18.36561
708256771633866752,250.09489,44.0447,629,52051,239,M1,24.44366,21.83137,20.932,19.71259,22.82672
740875709811025920,15.408028,-11.03766,658,52146,122,M3,23.76659,21.90363,20.87405,19.93072,19.3121
740886155171489792,15.097497,-10.133273,658,52146,160,M4,24.41154,21.77266,20.39346,18.88593,17.99516
740904846869161984,14.27051,-10.33221,658,52146,228,M2,24.07551,21.66968,20.28149,19.33783,18.84048
610287535846877184,115.66918,34.544711,542,51993,181,M3,24.02344,24.85626,21.11992,19.86308,19.33054
646306993090357248,154.23155,3.5938423,574,52355,147,M3,23.83768,22.23144,20.35671,18.86822,18.02633
708309823069906944,250.19451,44.770866,629,52051,432,M4,24.06458,23.5816,21.99449,20.45573,18.86385
773558699187791872,3.3073746,-0.022976381,687,52518,238,M2,23.5335,21.60443,20.19553,19.3703,18.83046
803963488912304128,54.802092,-1.1836216,714,52201,258,M2,23.65129,22.75715,21.10829,20.11446,19.55581
772507016332601344,2.2081386,0.45476767,686,52519,508,M4,23.81735,23.38577,21.81349,20.42977,19.70974
772533679489574912,2.9689503,1.0006348,686,52519,605,M4,24.73162,21.98505,20.45848,19.23787,18.54403
772534229245388800,3.0939757,0.95927897,686,52519,607,M4,23.44112,23.03675,21.57121,20.26914,19.61277
